datetime,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,spy_open,spy_high,spy_low,spy_close,spy_volume,date,time,bar_number,spx_ret_15m,spx_logret_15m,vix_ret_15m,spy_ret_15m,spy_dollar_volume_proxy,spy_cum_dollar_volume_proxy,spy_cum_volume,spy_vwap
2026-03-03 15:30:00-05:00,6824.68994140625,6828.85009765625,6817.080078125,6819.75,111989000,,,,,,681.0399780273438,681.510009765625,680.2000122070312,680.4500122070312,2699699,2026-03-03,15:30:00,25,-0.0007384899804466771,-0.0007387627984964951,,-0.0008809567530891904,1837739134.0382893,62248229000.22681,92084078,675.9934002947481
2026-03-03 15:45:00-05:00,6819.259765625,6821.85009765625,6806.830078125,6816.58984375,338307000,,,,,,680.4400024414062,680.77001953125,679.2100219726562,680.0399780273438,3620000,2026-03-03,15:45:00,26,-0.00046338300524217946,-0.00046349040032467315,,-0.000602592655348122,2461624156.901042,64709853157.127846,95704078,676.1452020584519
2026-03-04 09:30:00-05:00,6831.68994140625,6848.0400390625,6815.0400390625,6816.580078125,106904694,,,,,,681.6300048828125,683.5180053710938,680.02001953125,680.2100219726562,7521609,2026-03-04,09:30:00,1,-1.4326261699171283e-06,-1.4326271973175153e-06,,0.00025004992472021925,5124091234.369141,5124091234.369141,7521609,681.2493489583334
2026-03-04 09:45:00-05:00,6816.740234375,6830.97021484375,6811.64013671875,6829.1298828125,137544601,,,,,,680.2000122070312,681.7474975585938,679.6199951171875,681.302978515625,2328280,2026-03-04,09:45:00,2,0.0018410705285738516,0.0018393778354894863,,0.001606792766444487,1585302934.8885093,6709394169.25765,9849889,681.1644445188824
2026-03-04 10:00:00-05:00,6829.85009765625,6851.330078125,6824.68994140625,6846.52978515625,129038134,,,,,,681.4099731445312,683.760009765625,680.8699951171875,683.239990234375,3039852,2026-03-04,10:00:00,3,0.0025478944817760585,0.002544654101560795,,0.0028430988559160486,2075073900.1323242,8784468069.389975,12889741,681.5085011708129
2026-03-04 10:15:00-05:00,6846.60986328125,6876.759765625,6846.47021484375,6875.4501953125,115351587,,,,,,683.2100219726562,686.27001953125,683.1500244140625,686.1400146484375,4202374,2026-03-04,10:15:00,4,0.004224097617884004,0.004215201161741788,,0.004244517966619066,2879410715.2242837,11663878784.614258,17092115,682.4128426829715
2026-03-04 10:30:00-05:00,6876.169921875,6877.22998046875,6858.3701171875,6859.4599609375,105766028,,,,,,686.1500244140625,686.3099975585938,684.3499755859375,684.469970703125,3579796,2026-03-04,10:30:00,5,-0.002325699979021212,-0.002328408619689526,,-0.0024339696121180587,2452315317.488688,14116194102.102945,20671911,682.8683667466905
2026-03-04 10:45:00-05:00,6859.35986328125,6873.35986328125,6854.31005859375,6873.009765625,93067447,,,,,,684.47998046875,685.9000244140625,683.8800048828125,685.8300170898438,2688780,2026-03-04,10:45:00,6,0.001975345692614594,0.00197339726277157,,0.00198700665468432,1842361060.1745605,15958555162.277506,23360691,683.1371196287604
2026-03-04 11:00:00-05:00,6872.52001953125,6880.3798828125,6858.43017578125,6860.22998046875,89463424,,,,,,685.8400268554688,686.6400146484375,684.3300170898438,684.5399780273438,3893299,2026-03-04,11:00:00,7,-0.00185941612074636,-0.0018611469808273995,,-0.0018809895022879886,2667571688.5034995,18626126850.781006,27253990,683.4275220171801
2026-03-04 11:15:00-05:00,6860.2099609375,6868.2099609375,6856.83984375,6865.8701171875,88980629,,,,,,684.5599975585938,685.4500122070312,684.1799926757812,685.1900024414062,2579635,2026-03-04,11:15:00,8,0.0008221498018008422,0.0008218120217780012,,0.0009495784540380914,1766895203.197937,20393022053.978943,29833625,683.5583022170099
2026-03-04 11:30:00-05:00,6865.89013671875,6877.02978515625,6864.22021484375,6875.8701171875,84189000,,,,,,685.1799926757812,686.2999877929688,684.8499755859375,686.1300048828125,2269048,2026-03-04,11:30:00,9,0.0014564796346738795,0.0014554199969794013,,0.0013718858098583642,1556022332.474772,21949044386.453716,32102673,683.7139195995834
2026-03-04 11:45:00-05:00,6875.91015625,6878.43994140625,6870.7900390625,6872.72998046875,78813000,,,,,,686.1400146484375,686.4000244140625,685.5800170898438,685.780029296875,2068187,2026-03-04,11:45:00,10,-0.0004566893593438426,-0.0004567936736901146,,-0.0005100718281475514,1418610875.8497517,23367655262.303467,34170860,683.8474437665153
2026-03-04 12:00:00-05:00,6872.75,6878.18994140625,6870.490234375,6875.22021484375,78239000,,,,,,685.7949829101562,686.3599853515625,685.530029296875,686.0399780273438,1433432,2026-03-04,12:00:00,11,0.0003623355467299305,0.00036226991905863315,,0.0003790555562477316,983300901.7537434,24350956164.05721,35604292,683.9331663737959
2026-03-04 12:15:00-05:00,6875.22998046875,6876.25,6868.35986328125,6868.740234375,69914000,,,,,,686.0399780273438,686.1400146484375,685.3099975585938,685.3250122070312,1936102,2026-03-04,12:15:00,12,-0.0009425124237852911,-0.0009429568679042433,,-0.0010421634936907953,1327375412.772705,25678331576.829914,37540394,684.0187020101578
2026-03-04 12:30:00-05:00,6868.5498046875,6876.83984375,6861.3701171875,6872.6298828125,65900000,,,,,,685.3499755859375,686.219970703125,684.5800170898438,685.8099975585938,2271141,2026-03-04,12:30:00,13,0.0005662826522443432,0.0005661223747281952,,0.0007076720430800876,1556950419.5804443,27235281996.41036,39811535,684.1052975327467
2026-03-04 12:45:00-05:00,6872.580078125,6878.43017578125,6872.52978515625,6876.9599609375,60891000,,,,,,685.7899780273438,686.4199829101562,685.760009765625,686.1900024414062,1592368,2026-03-04,12:45:00,14,0.0006300467504920526,0.0006298483543663025,,0.000554096446778729,1092560837.4615884,28327842833.87195,41403903,684.1829098544634
2026-03-04 13:00:00-05:00,6876.7998046875,6879.43994140625,6872.7900390625,6874.60009765625,62026000,,,,,,686.2000122070312,686.489990234375,685.7750244140625,685.9349975585938,1593216,2026-03-04,13:00:00,15,-0.0003431550124843863,-0.0003432139036387838,,-0.0003716243050834178,1093052396.8828125,29420895230.75476,42997119,684.2527107631272
2026-03-04 13:15:00-05:00,6874.4599609375,6876.2001953125,6869.259765625,6875.9501953125,65949000,,,,,,685.9299926757812,686.1599731445312,685.3800048828125,686.10498046875,1458338,2026-03-04,13:15:00,16,0.0001963892644039067,0.00019636998255734284,,0.0002478119803790424,1000247277.8277588,30421142508.58252,44455457,684.3061473551496
2026-03-04 13:30:00-05:00,6875.9599609375,6882.35986328125,6875.91015625,6880.22998046875,71098000,,,,,,686.1099853515625,686.7899780273438,686.0999755859375,686.5399780273438,1458499,2026-03-04,13:30:00,17,0.0006224281786053609,0.0006222345505282334,,0.0006340102039437134,1001225498.62264,31422368007.20516,45913956,684.375095171611
2026-03-04 13:45:00-05:00,6880.31005859375,6883.39013671875,6877.330078125,6880.56982421875,64328000,,,,,,686.5499877929688,686.8699951171875,686.2000122070312,686.5449829101562,1472784,2026-03-04,13:45:00,18,4.939424277461413e-05,4.9393022919730356e-05,,7.290009282234777e-06,1011122667.9257812,32433490675.13094,47386740,684.4423287006226
2026-03-04 14:00:00-05:00,6880.60009765625,6883.8701171875,6879.31982421875,6882.85009765625,71339000,,,,,,686.5499877929688,686.9500122070312,686.3900146484375,686.8350219726562,1151498,2026-03-04,14:00:00,19,0.00033140764438921444,0.00033135274100537515,,0.0004224618484145459,790762482.7918293,33224253157.92277,48538238,684.4964820915578
2026-03-04 14:15:00-05:00,6882.75,6884.60986328125,6879.97021484375,6880.91015625,68464000,,,,,,686.8400268554688,686.9600219726562,686.4700927734375,686.5999755859375,1069821,2026-03-04,14:15:00,20,-0.000281851468319827,-0.00028189119590926737,,-0.0003422166593131104,734621150.4230347,33958874308.345806,49608059,684.5434994412059
2026-03-04 14:30:00-05:00,6880.89990234375,6884.080078125,6879.64990234375,6881.77978515625,66365000,,,,,,686.6099853515625,686.9400024414062,686.4450073242188,686.6799926757812,1382608,2026-03-04,14:30:00,21,0.00012638283112309523,0.00012637484548427835,,0.00011654106130065678,949420784.2985026,34908295092.64431,50990667,684.6016564687085
2026-03-04 14:45:00-05:00,6881.81005859375,6885.93994140625,6880.2900390625,6882.85986328125,72133000,,,,,,686.6900024414062,687.0900268554688,686.5,686.8099975585938,1302185,2026-03-04,14:45:00,22,0.00015694749886208115,0.0001569351838934807,,0.00018932382507008683,894340668.5972087,35802635761.241516,52292852,684.6563993343013
2026-03-04 15:00:00-05:00,6882.93994140625,6884.91015625,6875.8798828125,6876.919921875,78363000,,,,,,686.8150024414062,687.0050048828125,686.0750122070312,686.2000122070312,1655709,2026-03-04,15:00:00,23,-0.0008630048445325,-0.0008633774476010103,,-0.0008881427960146793,1136522826.0090332,36939158587.25055,53948561,684.7107300461739
2026-03-04 15:15:00-05:00,6876.89013671875,6877.52978515625,6870.22021484375,6877.2998046875,88064000,,,,,,686.2000122070312,686.2999877929688,685.4749755859375,686.22998046875,2572999,2026-03-04,15:15:00,24,5.5240255349087164e-05,5.523872966151089e-05,,4.367277934358427e-05,1765081554.171692,38704240141.42224,56521560,684.7694957715647
2026-03-04 15:30:00-05:00,6877.2900390625,6880.85009765625,6874.330078125,6879.89013671875,124125000,,,,,,686.239990234375,686.6300048828125,685.9299926757812,686.5050048828125,2180033,2026-03-04,15:30:00,25,0.00037664957247973696,0.0003765786578355801,,0.0004007758650745874,1496276551.4891155,40200516692.911354,58701593,684.8283775350245
2026-03-04 15:45:00-05:00,6879.830078125,6880.8798828125,6868.7998046875,6868.9501953125,350785000,,,,,,686.5,686.6199951171875,685.1599731445312,685.1649780273438,9004583,2026-03-04,15:45:00,26,-0.0015901331545778996,-0.0015913987581317457,,-0.0019519549689189786,6173977165.096802,46374493858.008156,67706176,684.9374251768133
2026-03-05 09:30:00-05:00,6851.080078125,6859.7001953125,6835.490234375,6841.72021484375,115504269,22.260000228881836,22.260000228881836,21.579999923706055,22.209999084472656,0.0,682.0800170898438,684.4500122070312,681.8699951171875,682.6900024414062,7000123,2026-03-05,09:30:00,1,-0.003964212826485847,-0.0039720911459362185,,-0.003612233061098924,4781107365.530191,4781107365.530191,7000123,683.0033365885416
2026-03-05 09:45:00-05:00,6842.0400390625,6865.93017578125,6837.56982421875,6865.93017578125,145798877,22.239999771118164,22.3700008392334,21.3799991607666,21.399999618530273,0.0,682.7100219726562,685.1011962890625,682.1699829101562,685.0999755859375,3669896,2026-03-05,09:45:00,2,0.003538578044301577,0.003532332007402772,-0.03647003598972076,0.0035301134276359836,2510662897.1538086,7291770262.684,10670019,683.388685876192
2026-03-05 10:00:00-05:00,6865.8701171875,6870.43017578125,6844.5498046875,6858.31005859375,146714139,21.34000015258789,22.15999984741211,21.18000030517578,21.600000381469727,0.0,685.0900268554688,685.530029296875,682.89501953125,684.2888793945312,4584022,2026-03-05,10:00:00,3,-0.0011098448414723627,-0.0011104611753243177,0.00934583021049562,-0.0011839092399800188,3136561935.5596924,10428332198.243692,15254041,683.6439077516372
2026-03-05 10:15:00-05:00,6858.0498046875,6858.0498046875,6818.6201171875,6821.91015625,122804005,21.56999969482422,23.170000076293945,21.56999969482422,23.079999923706055,0.0,684.2999877929688,684.3499755859375,680.3300170898438,680.8200073242188,4461306,2026-03-05,10:15:00,4,-0.005307415680068206,-0.005321550044147472,0.06851849611567573,-0.005069309431685931,3041867141.0,13470199339.243692,19715347,683.2342002016851
2026-03-05 10:30:00-05:00,6822.1201171875,6831.52001953125,6807.8798828125,6826.66015625,118001507,22.989999771118164,23.579999923706055,22.5,22.770000457763672,0.0,680.8300170898438,681.8099975585938,679.3200073242188,681.22998046875,4887370,2026-03-05,10:30:00,5,0.0006962859215682293,0.0006960436269913828,-0.013431519365993294,0.0006021755238105886,3327256307.202555,16797455646.446247,24602717,682.7479926890289
2026-03-05 10:45:00-05:00,6826.669921875,6840.25,6826.31005859375,6835.080078125,102851227,22.68000030517578,22.68000030517578,22.1200008392334,22.469999313354492,0.0,681.2100219726562,682.5800170898438,681.1199951171875,682.1099853515625,2552305,2026-03-05,10:45:00,6,0.0012333881696589,0.0012326281713210818,-0.013175280561177671,0.0012917882477911924,1740510361.9395957,18537966008.38584,27155022,682.6717359457798
2026-03-05 11:00:00-05:00,6835.419921875,6837.35009765625,6806.7099609375,6812.330078125,105359618,22.3799991607666,23.5,22.329999923706055,23.299999237060547,0.0,682.0999755859375,682.3599853515625,679.1500244140625,679.8099975585938,3712093,2026-03-05,11:00:00,7,-0.003328417478649426,-0.0033339689820088836,0.03693813747527641,-0.0033718723407681894,2525856569.982727,21063822578.36857,30867115,682.4033466803933
2026-03-05 11:15:00-05:00,6812.509765625,6816.8798828125,6805.240234375,6809.419921875,97054000,23.31999969482422,23.700000762939453,23.25,23.489999771118164,0.0,679.7999877929688,680.3099975585938,679.010009765625,679.5349731445312,4861634,2026-03-05,11:15:00,8,-0.00042718955432663464,-0.00042728082577880855,0.008154529625709506,-0.000404560708212931,3304055564.7054033,24367878143.073975,35728749,682.0243872259276
2026-03-05 11:30:00-05:00,6809.25,6824.1201171875,6809.2099609375,6816.16015625,89180000,23.489999771118164,23.489999771118164,22.8799991607666,23.190000534057617,0.0,679.530029296875,681.0399780273438,679.4600219726562,680.219970703125,3276986,2026-03-05,11:30:00,9,0.0009898397297172234,0.000989350161407998,-0.012771359726848841,0.0010080387112731959,2229136924.6381836,26597015067.71216,39005735,681.8744748102339
2026-03-05 11:45:00-05:00,6816.14990234375,6826.77001953125,6816.14990234375,6824.35009765625,76923000,23.209999084472656,23.209999084472656,22.719999313354492,22.940000534057617,0.0,680.239990234375,681.3499755859375,680.2150268554688,681.0599975585938,2299260,2026-03-05,11:45:00,10,0.0012015476776525702,0.0012008263969516264,-0.010780508591745841,0.0012349341266773006,1565508652.5,28162523720.21216,41304995,681.8188386225966
2026-03-05 12:00:00-05:00,6824.47998046875,6837.9501953125,6816.72998046875,6819.740234375,84096000,22.979999542236328,23.290000915527344,22.440000534057617,23.100000381469727,0.0,681.0549926757812,682.4199829101562,680.1699829101562,680.5499877929688,2759862,2026-03-05,12:00:00,11,-0.0006755021672808503,-0.0006757304216655768,0.006974709838152293,-0.0007488470435104144,1879594772.8863525,30042118493.09851,44064857,681.7704751225792
2026-03-05 12:15:00-05:00,6819.97998046875,6820.10009765625,6802.14013671875,6802.419921875,85064000,23.1200008392334,23.899999618530273,23.1200008392334,23.81999969482422,0.0,680.5399780273438,680.5800170898438,678.489990234375,678.510009765625,2627091,2026-03-05,12:15:00,12,-0.0025397319992771505,-0.002542962589640041,0.031168800929200824,-0.0029975432575635175,1784302708.225525,31826421201.324036,46691948,681.6254742964255
2026-03-05 12:30:00-05:00,6799.77001953125,6801.39990234375,6784.1298828125,6784.89013671875,102976000,23.979999542236328,24.540000915527344,23.899999618530273,24.5,0.0,678.510009765625,678.8049926757812,676.9500122070312,677.27001953125,4485399,2026-03-05,12:30:00,13,-0.002576992505252229,-0.0025803186659949517,0.02854745230427258,-0.001827519441906733,3039642803.8272705,34866064005.151306,51177347,681.2792387450507
2026-03-05 12:45:00-05:00,6785.47998046875,6786.5,6774.31005859375,6778.77978515625,102618000,24.489999771118164,25.059999465942383,24.469999313354492,24.969999313354492,0.0,677.260009765625,677.3699951171875,676.030029296875,676.4600219726562,3461963,2026-03-05,12:45:00,14,-0.0009005822407398556,-0.0009009880085617539,0.01918364544304052,-0.0011959743311159565,2342433458.5897017,37208497463.741005,54639310,680.9840289663432
2026-03-05 13:00:00-05:00,6778.41015625,6796.2900390625,6777.240234375,6794.52978515625,84003000,25.010000228881836,25.110000610351562,24.190000534057617,24.209999084472656,0.0,676.4500122070312,678.260009765625,676.3099975585938,678.02001953125,2672110,2026-03-05,13:00:00,15,0.00232342700296706,0.002320732020038463,-0.030436533831835977,0.002306119368362003,1810434712.2202554,39018932175.961266,57311420,680.8229873899699
2026-03-05 13:15:00-05:00,6794.330078125,6796.10009765625,6773.8701171875,6777.18994140625,78705000,24.25,25.200000762939453,24.229999542236328,25.079999923706055,0.0,678.010009765625,678.2249755859375,675.9000244140625,676.2999877929688,2189906,2026-03-05,13:15:00,16,-0.0025520299856336415,-0.0025552919651197215,0.035935599840290156,-0.0025368450616994886,1482146621.1059163,40501078797.06718,59501326,680.675230616998
2026-03-05 13:30:00-05:00,6777.0498046875,6793.66015625,6772.7998046875,6792.0498046875,79267000,25.059999465942383,25.200000762939453,24.420000076293945,24.559999465942383,0.0,676.280029296875,677.9600219726562,675.8200073242188,677.7899780273438,2076943,2026-03-05,13:30:00,17,0.0021926290113931657,0.002190228708411013,-0.020733670627812062,0.0022031498761923007,1406485035.2406616,41907563832.30784,61578269,680.5576790784398
2026-03-05 13:45:00-05:00,6791.9599609375,6792.22998046875,6773.91015625,6780.2998046875,72747000,24.510000228881836,25.280000686645508,24.510000228881836,25.0,0.0,677.7899780273438,677.8499755859375,675.9400024414062,676.6199951171875,1929063,2026-03-05,13:45:00,18,-0.0017299637573168214,-0.0017314618726569364,0.017915331580840244,-0.0017261732219195913,1305596251.3413696,43213160083.64921,63507332,680.4436389116332
2026-03-05 14:00:00-05:00,6780.43994140625,6788.31005859375,6778.3701171875,6787.77978515625,82551000,24.979999542236328,25.06999969482422,24.729999542236328,24.739999771118164,0.0,676.5999755859375,677.4500122070312,676.3800048828125,677.3400268554688,2006880,2026-03-05,14:00:00,19,0.0011031931749654333,0.0011025851045474155,-0.010400009155273393,0.0010641597107348133,1358771512.5976562,44571931596.246864,65514212,680.3398871110113
2026-03-05 14:15:00-05:00,6787.830078125,6791.18994140625,6777.85009765625,6781.43994140625,79753000,24.739999771118164,25.329999923706055,24.700000762939453,25.329999923706055,0.0,677.3200073242188,677.7899780273438,676.2899780273438,676.6699829101562,2116537,2026-03-05,14:15:00,20,-0.0009340084608908672,-0.0009344449185846315,0.023848025790067506,-0.0009892283325159124,1432719127.8556113,46004650724.10248,67630749,680.2327551348349
2026-03-05 14:30:00-05:00,6781.41015625,6783.740234375,6770.77978515625,6783.56982421875,82120000,25.290000915527344,25.84000015258789,25.09000015258789,25.18000030517578,0.0,676.6699829101562,677.0499877929688,675.6099853515625,677.0385131835938,2373732,2026-03-05,14:30:00,21,0.00031407530419835794,0.00031402599287488897,-0.005921816777815669,0.0005446233507397924,1605986749.116211,47610637473.21869,70004481,680.1084272479455
