session_date,rule,contracts,option_type,option_ticker,entry_execution_price,capital_at_risk_usd,net_pnl_usd,return_on_initial_premium,winner,tp1_achieved,tp2_achieved,ambiguous_intrabar,last_exit_timestamp,tp1_contracts_exited,tp2_contracts_exited,stop_contracts_exited,runner_contracts_exited_at_close,legs_json
2025-01-14,2C_TP100_RUNNER_TRAIL25,2,call,O:SPXW250114C05825000,9.45,1892.9999999999998,-998.2499999999999,-0.527337559429477,False,False,False,False,2025-01-14 15:02:00-05:00,0,0,1,0,"[{""timestamp"": ""2025-01-14T15:02:00-05:00"", ""contracts"": 2, ""reference_price"": 4.725, ""execution_price"": 4.48875, ""reason"": ""stop""}]"
2025-01-14,3C_TP50_TP100_RUNNER_CLOSE,3,call,O:SPXW250114C05825000,9.45,2839.4999999999995,-1497.3749999999998,-0.527337559429477,False,False,False,False,2025-01-14 15:02:00-05:00,0,0,1,0,"[{""timestamp"": ""2025-01-14T15:02:00-05:00"", ""contracts"": 3, ""reference_price"": 4.725, ""execution_price"": 4.48875, ""reason"": ""stop""}]"
2025-04-02,1C_HOLD_CLOSE,1,call,O:SPXW250402C05635000,9.975,999.0,3024.65,3.0276776776776777,True,False,False,False,2025-04-02 15:58:00-04:00,0,0,0,1,"[{""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-02,1C_STOP50_HOLD_CLOSE,1,call,O:SPXW250402C05635000,9.975,999.0,3024.65,3.0276776776776777,True,False,False,False,2025-04-02 15:58:00-04:00,0,0,0,1,"[{""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-02,2C_TP100_RUNNER_CLOSE,2,call,O:SPXW250402C05635000,9.975,1998.0,3919.3999999999996,1.9616616616616616,True,True,False,False,2025-04-02 15:58:00-04:00,1,0,0,1,"[{""timestamp"": ""2025-04-02T15:28:00-04:00"", ""contracts"": 1, ""reference_price"": 19.95, ""execution_price"": 18.9525, ""reason"": ""tp1""}, {""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-02,2C_TP100_RUNNER_BE,2,call,O:SPXW250402C05635000,9.975,1998.0,3919.3999999999996,1.9616616616616616,True,True,False,False,2025-04-02 15:58:00-04:00,1,0,0,1,"[{""timestamp"": ""2025-04-02T15:28:00-04:00"", ""contracts"": 1, ""reference_price"": 19.95, ""execution_price"": 18.9525, ""reason"": ""tp1""}, {""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-02,2C_TP100_RUNNER_TRAIL25,2,call,O:SPXW250402C05635000,9.975,1998.0,3919.3999999999996,1.9616616616616616,True,True,False,False,2025-04-02 15:58:00-04:00,1,0,0,1,"[{""timestamp"": ""2025-04-02T15:28:00-04:00"", ""contracts"": 1, ""reference_price"": 19.95, ""execution_price"": 18.9525, ""reason"": ""tp1""}, {""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-02,3C_TP50_TP100_RUNNER_CLOSE,3,call,O:SPXW250402C05635000,9.975,2997.0,4340.3375,1.4482273940607273,True,True,True,False,2025-04-02 15:58:00-04:00,1,1,0,1,"[{""timestamp"": ""2025-04-02T15:01:00-04:00"", ""contracts"": 1, ""reference_price"": 14.962499999999999, ""execution_price"": 14.214374999999999, ""reason"": ""tp1""}, {""timestamp"": ""2025-04-02T15:28:00-04:00"", ""contracts"": 1, ""reference_price"": 19.95, ""execution_price"": 18.9525, ""reason"": ""tp2""}, {""timestamp"": ""2025-04-02T15:58:00-04:00"", ""contracts"": 1, ""reference_price"": 42.37, ""execution_price"": 40.2515, ""reason"": ""close_runner""}]"
2025-04-11,1C_HOLD_CLOSE,1,call,O:SPXW250411C05340000,19.634999999999998,1964.9999999999998,123.50000000000023,0.06284987277353701,True,False,False,False,2025-04-11 15:59:00-04:00,0,0,0,1,"[{""timestamp"": ""2025-04-11T15:59:00-04:00"", ""contracts"": 1, ""reference_price"": 22.0, ""execution_price"": 20.9, ""reason"": ""close_runner""}]"
2025-04-11,1C_STOP50_HOLD_CLOSE,1,call,O:SPXW250411C05340000,19.634999999999998,1964.9999999999998,123.50000000000023,0.06284987277353701,True,False,False,False,2025-04-11 15:59:00-04:00,0,0,0,1,"[{""timestamp"": ""2025-04-11T15:59:00-04:00"", ""contracts"": 1, ""reference_price"": 22.0, ""execution_price"": 20.9, ""reason"": ""close_runner""}]"
2025-04-11,2C_TP100_RUNNER_CLOSE,2,call,O:SPXW250411C05340000,19.634999999999998,3929.9999999999995,247.00000000000045,0.06284987277353701,True,False,False,False,2025-04-11 15:59:00-04:00,0,0,0,1,"[{""timestamp"": ""2025-04-11T15:59:00-04:00"", ""contracts"": 2, ""reference_price"": 22.0, ""execution_price"": 20.9, ""reason"": ""close_runner""}]"
