rule,predicted_magnitude_threshold_bps,sessions,coverage,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,mean_move_points,mean_directional_capture_bps,rate_ge_20bps,rate_ge_30bps,rate_ge_40bps
RQ2 >= 15 bps + RQ3 flag,15.0,143,0.33966745843230406,0.5843444227005871,0.5804195804195804,32.568094211346796,22.450041867518866,18.544405594405653,4.271978377617358,0.5524475524475524,0.4125874125874126,0.2937062937062937
RQ1 high confidence + RQ2 >= 15 bps + RQ3 flag,15.0,43,0.1021377672209026,0.6366666666666667,0.6046511627906976,34.2517993722239,27.675703060415778,19.6909302325582,11.37861869494187,0.5581395348837209,0.4186046511627907,0.3023255813953488
RQ2 predicted move >= 20 bps,20.0,78,0.18527315914489312,0.6131578947368421,0.6153846153846154,42.58256649631804,35.301311382758826,24.109615384615466,8.109869118297903,0.6794871794871795,0.5512820512820513,0.41025641025641024
RQ1 high confidence + RQ2 >= 20 bps,20.0,21,0.0498812351543943,0.6805555555555556,0.6666666666666666,47.27546142491305,36.56873225937329,26.881428571428646,24.955007797904074,0.7142857142857143,0.6190476190476191,0.47619047619047616
RQ2 >= 20 bps + RQ3 flag,20.0,78,0.18527315914489312,0.6131578947368421,0.6153846153846154,42.58256649631804,35.301311382758826,24.109615384615466,8.109869118297903,0.6794871794871795,0.5512820512820513,0.41025641025641024
RQ1 high confidence + RQ2 >= 20 bps + RQ3 flag,20.0,21,0.0498812351543943,0.6805555555555556,0.6666666666666666,47.27546142491305,36.56873225937329,26.881428571428646,24.955007797904074,0.7142857142857143,0.6190476190476191,0.47619047619047616
RQ2 predicted move >= 25 bps,25.0,53,0.12589073634204276,0.6235714285714286,0.6226415094339622,43.28976219841944,31.650953975606022,24.638113207547207,6.432925446698782,0.660377358490566,0.5283018867924528,0.37735849056603776
RQ1 high confidence + RQ2 >= 25 bps,25.0,16,0.03800475059382423,0.6833333333333333,0.6875,48.84839155688444,34.10984311748966,28.021250000000045,32.38059075125914,0.75,0.625,0.4375
RQ2 >= 25 bps + RQ3 flag,25.0,53,0.12589073634204276,0.6235714285714286,0.6226415094339622,43.28976219841944,31.650953975606022,24.638113207547207,6.432925446698782,0.660377358490566,0.5283018867924528,0.37735849056603776
RQ1 high confidence + RQ2 >= 25 bps + RQ3 flag,25.0,16,0.03800475059382423,0.6833333333333333,0.6875,48.84839155688444,34.10984311748966,28.021250000000045,32.38059075125914,0.75,0.625,0.4375
RQ2 predicted move >= 30 bps,30.0,34,0.08076009501187649,0.7048611111111112,0.7058823529411765,51.13413760234877,36.548061072236294,28.88617647058826,13.4064946362687,0.7647058823529411,0.5882352941176471,0.4117647058823529
RQ1 high confidence + RQ2 >= 30 bps,30.0,10,0.023752969121140142,0.9285714285714286,0.9,60.11033848571634,38.70214068056488,34.30100000000006,52.796592033841684,0.9,0.7,0.5
RQ2 >= 30 bps + RQ3 flag,30.0,34,0.08076009501187649,0.7048611111111112,0.7058823529411765,51.13413760234877,36.548061072236294,28.88617647058826,13.4064946362687,0.7647058823529411,0.5882352941176471,0.4117647058823529
RQ1 high confidence + RQ2 >= 30 bps + RQ3 flag,30.0,10,0.023752969121140142,0.9285714285714286,0.9,60.11033848571634,38.70214068056488,34.30100000000006,52.796592033841684,0.9,0.7,0.5
RQ2 predicted move >= 40 bps,40.0,4,0.009501187648456057,0.3333333333333333,0.5,53.502162812650575,43.09559925289031,30.055000000000174,10.40656355976027,1.0,1.0,0.5
RQ1 high confidence + RQ2 >= 40 bps,40.0,1,0.0023752969121140144,,1.0,91.98864767974601,91.98864767974601,51.73000000000054,91.98864767974601,1.0,1.0,1.0
RQ2 >= 40 bps + RQ3 flag,40.0,4,0.009501187648456057,0.3333333333333333,0.5,53.502162812650575,43.09559925289031,30.055000000000174,10.40656355976027,1.0,1.0,0.5
RQ1 high confidence + RQ2 >= 40 bps + RQ3 flag,40.0,1,0.0023752969121140144,,1.0,91.98864767974601,91.98864767974601,51.73000000000054,91.98864767974601,1.0,1.0,1.0
