session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible,strict_reason,relaxed_reason
2023-02-01,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-02,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-03,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-06,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-07,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-08,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-09,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-10,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-13,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-02-14,390,09:30:00,15:59:00,True,True,22,22,60.0,True,True,True,True,False,False,22 missing SPX observations in final 120m; 22 missing VIX observations in final 120m,22 missing SPX observations in final 120m; 22 missing VIX observations exceeds relaxed limit
2023-06-05,386,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,False,False,session length 386,session length 386
2023-06-15,390,09:30:00,15:59:00,True,True,0,6,120.0,True,True,True,True,False,False,6 missing VIX observations in final 120m,6 missing VIX observations exceeds relaxed limit
2023-06-16,390,09:30:00,15:59:00,True,True,0,2,120.0,False,True,True,True,False,False,2 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1359_valid
2023-06-29,390,09:30:00,15:59:00,True,True,0,10,120.0,True,False,True,True,False,False,10 missing VIX observations in final 120m,10 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1429_valid
2023-07-03,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-07-25,390,09:30:00,15:59:00,True,True,0,9,120.0,True,True,True,True,False,False,9 missing VIX observations in final 120m,9 missing VIX observations exceeds relaxed limit
2023-11-24,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-12-01,390,09:30:00,15:59:00,True,True,0,3,120.0,False,True,True,True,False,False,3 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1359_valid
