rule,regime_type,regime,sessions,minimum_sample_met,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,rate_ge_30bps,mean_directional_capture_bps,first_date,last_date
RQ1 high confidence,intraday_trend_regime,Positive pre-15:00 return,34,True,0.5368421052631579,0.5294117647058824,20.394788276906215,10.94777828843041,0.20588235294117646,-0.6067580729875748,2024-12-20,2026-03-19
RQ3 large-move flag,vix_regime,High,75,True,0.49642857142857144,0.49333333333333335,40.417092875983165,33.21576792872483,0.5333333333333333,-4.865888555944468,2024-12-19,2026-03-20
RQ3 large-move flag,vix_regime,Low,2,False,0.5,0.5,9.713788159417813,9.713788159417813,0.0,-5.025957072275489,2025-02-13,2025-12-10
RQ3 large-move flag,vix_regime,Medium,30,True,0.5416666666666667,0.5333333333333333,28.06241347767368,24.574628880474346,0.3,8.72379595716488,2024-12-18,2026-02-11
RQ3 large-move flag,realized_vol_regime,High,95,True,0.53108228980322,0.5263157894736842,37.48043413166446,28.554870660134625,0.4842105263157895,0.5634233401085916,2024-12-18,2026-03-20
RQ3 large-move flag,realized_vol_regime,Medium,12,True,0.3142857142857143,0.3333333333333333,27.66172531997171,20.5333312386502,0.25,-13.90040786964632,2024-12-27,2026-03-13
RQ3 large-move flag,intraday_trend_regime,Negative pre-15:00 return,60,True,0.517626321974148,0.5166666666666667,34.724654774162126,27.931253311030968,0.4666666666666667,2.7880002078827606,2024-12-18,2026-03-20
RQ3 large-move flag,intraday_trend_regime,Positive pre-15:00 return,47,True,0.4845454545454546,0.48936170212765956,38.49154595527779,24.026798112242176,0.44680851063829785,-5.9693550978384105,2024-12-20,2026-03-10
RQ1 high confidence + RQ3,vix_regime,High,21,True,0.5833333333333333,0.5714285714285714,36.782391634010686,33.21576792872483,0.5714285714285714,3.4920525803925995,2025-01-14,2026-03-20
RQ1 high confidence + RQ3,vix_regime,Low,1,False,,0.0,14.739745231693302,14.739745231693302,0.0,-14.739745231693302,2025-02-13,2025-02-13
RQ1 high confidence + RQ3,vix_regime,Medium,11,True,0.6875,0.5454545454545454,24.148017033719587,23.533463437034328,0.2727272727272727,8.626204310660876,2024-12-20,2026-02-11
RQ1 high confidence + RQ3,realized_vol_regime,High,26,True,0.6090909090909091,0.5769230769230769,31.520390219130174,30.910590536804563,0.5,9.97235013887923,2024-12-20,2026-03-20
RQ1 high confidence + RQ3,realized_vol_regime,Medium,7,False,0.3,0.42857142857142855,33.32400160277836,22.233014766552817,0.2857142857142857,-15.11421389100558,2024-12-27,2026-03-13
RQ1 high confidence + RQ3,intraday_trend_regime,Negative pre-15:00 return,20,True,0.6190476190476191,0.6,29.145593775226576,27.540921354257677,0.45,9.416120062420486,2024-12-27,2026-03-20
RQ1 high confidence + RQ3,intraday_trend_regime,Positive pre-15:00 return,13,True,0.44047619047619047,0.46153846153846156,36.14509857017706,29.829175454370027,0.46153846153846156,-2.680061144199137,2024-12-20,2026-03-09
RQ1 high confidence + RQ2 >= 20 bps,vix_regime,High,17,True,0.5833333333333333,0.5882352941176471,35.839686700329004,30.441377423472417,0.5294117647058824,2.264530497729593,2025-01-14,2026-03-20
RQ1 high confidence + RQ2 >= 20 bps,vix_regime,Low,2,False,,0.0,18.6438793540733,18.6438793540733,0.0,-18.6438793540733,2025-09-05,2025-09-17
RQ1 high confidence + RQ2 >= 20 bps,vix_regime,Medium,6,False,0.8,0.6666666666666666,26.807726022763564,30.910590536804563,0.5,11.943761745980922,2024-12-20,2026-02-11
RQ1 high confidence + RQ2 >= 20 bps,realized_vol_regime,High,20,True,0.5505050505050505,0.55,31.39912468007222,30.910590536804563,0.5,8.393620277566075,2024-12-20,2026-03-20
RQ1 high confidence + RQ2 >= 20 bps,realized_vol_regime,Medium,5,False,0.5,0.6,35.885259029775355,12.91359016342808,0.4,-19.000115064435885,2025-09-05,2026-03-13
RQ1 high confidence + RQ2 >= 20 bps,intraday_trend_regime,Negative pre-15:00 return,18,True,0.5064935064935066,0.5555555555555556,28.67494668759678,29.09541971184926,0.5,6.674037319957155,2025-01-02,2026-03-20
RQ1 high confidence + RQ2 >= 20 bps,intraday_trend_regime,Positive pre-15:00 return,7,False,0.5416666666666666,0.5714285714285714,41.60853548193986,29.829175454370027,0.42857142857142855,-6.751548790012401,2024-12-20,2026-03-09
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,vix_regime,High,15,True,0.5982142857142857,0.6,40.2073646848448,36.527389885099296,0.6,2.576028686220424,2025-01-14,2026-03-20
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,vix_regime,Medium,5,False,0.75,0.6,32.02694768957692,31.992005619239094,0.6,14.190190557437754,2024-12-20,2026-02-11
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,realized_vol_regime,High,17,True,0.6071428571428572,0.5882352941176471,35.143771848459096,36.527389885099296,0.5882352941176471,11.317057995761365,2024-12-20,2026-03-20
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,realized_vol_regime,Medium,3,False,0.5,0.6666666666666666,55.267029098917305,30.441377423472417,0.6666666666666666,-27.599534282482704,2026-02-17,2026-03-13
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,intraday_trend_regime,Negative pre-15:00 return,13,True,0.5833333333333333,0.6153846153846154,36.30657387284443,36.527389885099296,0.6923076923076923,12.065555739275535,2025-01-02,2026-03-20
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,intraday_trend_regime,Positive pre-15:00 return,7,False,0.5416666666666666,0.5714285714285714,41.60853548193986,29.829175454370027,0.42857142857142855,-6.751548790012401,2024-12-20,2026-03-09
