rule,realised_move_threshold_bps,sessions,coverage,selected_event_rate,unconditional_event_rate,absolute_event_rate_lift,lift_ratio
RQ1 high confidence + RQ3,30,33,0.11956521739130435,0.45454545454545453,0.2427536231884058,0.21179183135704874,1.8724559023066485
RQ1 high confidence + RQ2 >= 20 bps,30,25,0.09057971014492754,0.48,0.2427536231884058,0.2372463768115942,1.9773134328358208
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,30,20,0.07246376811594203,0.6,0.2427536231884058,0.3572463768115942,2.471641791044776
All three with RQ2 >= 10 bps,30,32,0.11594202898550725,0.46875,0.2427536231884058,0.2259963768115942,1.9309701492537314
All three with RQ2 >= 15 bps,30,27,0.09782608695652174,0.5555555555555556,0.2427536231884058,0.3128019323671498,2.2885572139303485
All three with RQ2 >= 20 bps,30,20,0.07246376811594203,0.6,0.2427536231884058,0.3572463768115942,2.471641791044776
All three with RQ2 >= 25 bps,30,10,0.036231884057971016,0.7,0.2427536231884058,0.4572463768115942,2.8835820895522386
All three with RQ2 >= 30 bps,30,3,0.010869565217391304,1.0,0.2427536231884058,0.7572463768115942,4.119402985074627
All three with RQ2 >= 40 bps,30,0,0.0,,0.2427536231884058,,
All intersection sessions,40,276,1.0,0.15942028985507245,0.15942028985507245,0.0,1.0
RQ1 high confidence,40,85,0.3079710144927536,0.11764705882352941,0.15942028985507245,-0.04177323103154304,0.7379679144385027
RQ3 large-move flag,40,107,0.38768115942028986,0.3177570093457944,0.15942028985507245,0.15833671949072192,1.9932030586236194
RQ1 high confidence + RQ3,40,33,0.11956521739130435,0.24242424242424243,0.15942028985507245,0.08300395256916998,1.5206611570247937
RQ1 high confidence + RQ2 >= 20 bps,40,25,0.09057971014492754,0.24,0.15942028985507245,0.08057971014492754,1.5054545454545456
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,40,20,0.07246376811594203,0.3,0.15942028985507245,0.14057971014492754,1.8818181818181818
All three with RQ2 >= 10 bps,40,32,0.11594202898550725,0.25,0.15942028985507245,0.09057971014492755,1.5681818181818183
All three with RQ2 >= 15 bps,40,27,0.09782608695652174,0.2962962962962963,0.15942028985507245,0.13687600644122383,1.8585858585858586
All three with RQ2 >= 20 bps,40,20,0.07246376811594203,0.3,0.15942028985507245,0.14057971014492754,1.8818181818181818
All three with RQ2 >= 25 bps,40,10,0.036231884057971016,0.3,0.15942028985507245,0.14057971014492754,1.8818181818181818
All three with RQ2 >= 30 bps,40,3,0.010869565217391304,0.3333333333333333,0.15942028985507245,0.17391304347826086,2.090909090909091
All three with RQ2 >= 40 bps,40,0,0.0,,0.15942028985507245,,
All intersection sessions,50,276,1.0,0.08695652173913043,0.08695652173913043,0.0,1.0
RQ1 high confidence,50,85,0.3079710144927536,0.08235294117647059,0.08695652173913043,-0.004603580562659845,0.9470588235294117
RQ3 large-move flag,50,107,0.38768115942028986,0.19626168224299065,0.08695652173913043,0.10930516050386022,2.2570093457943927
RQ1 high confidence + RQ3,50,33,0.11956521739130435,0.18181818181818182,0.08695652173913043,0.09486166007905139,2.090909090909091
RQ1 high confidence + RQ2 >= 20 bps,50,25,0.09057971014492754,0.16,0.08695652173913043,0.07304347826086957,1.84
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,50,20,0.07246376811594203,0.2,0.08695652173913043,0.11304347826086958,2.3000000000000003
All three with RQ2 >= 10 bps,50,32,0.11594202898550725,0.1875,0.08695652173913043,0.10054347826086957,2.15625
All three with RQ2 >= 15 bps,50,27,0.09782608695652174,0.2222222222222222,0.08695652173913043,0.13526570048309178,2.5555555555555554
All three with RQ2 >= 20 bps,50,20,0.07246376811594203,0.2,0.08695652173913043,0.11304347826086958,2.3000000000000003
All three with RQ2 >= 25 bps,50,10,0.036231884057971016,0.3,0.08695652173913043,0.21304347826086956,3.45
All three with RQ2 >= 30 bps,50,3,0.010869565217391304,0.3333333333333333,0.08695652173913043,0.24637681159420288,3.833333333333333
All three with RQ2 >= 40 bps,50,0,0.0,,0.08695652173913043,,
