rule,predicted_magnitude_threshold_bps,sessions,coverage,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,mean_move_points,mean_directional_capture_bps,rate_ge_20bps,rate_ge_30bps,rate_ge_40bps
RQ2 predicted move >= 25 bps,25.0,49,0.17753623188405798,0.5493311036789297,0.5510204081632653,39.493887288178975,28.554870660134625,23.381224489795958,1.8326904147938181,0.6326530612244898,0.4897959183673469,0.3469387755102041
RQ1 high confidence + RQ2 >= 25 bps,25.0,14,0.050724637681159424,0.47916666666666663,0.5,34.139014532447405,27.40777298409547,21.225714285714336,-0.6486321607109191,0.5714285714285714,0.5,0.21428571428571427
RQ2 >= 25 bps + RQ3 flag,25.0,39,0.14130434782608695,0.4852941176470588,0.48717948717948717,45.28775998721166,35.828805065075684,26.68769230769236,-0.6184629420604202,0.717948717948718,0.5641025641025641,0.41025641025641024
RQ1 high confidence + RQ2 >= 25 bps + RQ3 flag,25.0,10,0.036231884057971016,0.5,0.5,44.66962135879272,36.548061072236294,27.675000000000022,1.4725112437972137,0.7,0.7,0.3
RQ2 predicted move >= 30 bps,30.0,23,0.08333333333333333,0.571969696969697,0.5652173913043478,44.062498552645906,35.828805065075684,26.117826086956537,10.362680986409282,0.7391304347826086,0.5652173913043478,0.391304347826087
RQ1 high confidence + RQ2 >= 30 bps,30.0,6,0.021739130434782608,0.375,0.3333333333333333,38.10279970197949,30.45077921490891,23.75666666666669,-24.682270709463864,0.6666666666666666,0.5,0.16666666666666666
RQ2 >= 30 bps + RQ3 flag,30.0,16,0.057971014492753624,0.5,0.5,57.62252821564715,43.00098974621747,33.943124999999974,12.620037498823343,0.9375,0.75,0.5625
RQ1 high confidence + RQ2 >= 30 bps + RQ3 flag,30.0,3,0.010869565217391304,0.25,0.3333333333333333,66.7924014153498,39.54996928885013,41.30999999999974,-40.42575522278306,1.0,1.0,0.3333333333333333
RQ2 predicted move >= 40 bps,40.0,3,0.010869565217391304,0.25,0.3333333333333333,17.52120041632018,21.932815127960748,10.509999999999932,-13.350122032132669,0.6666666666666666,0.0,0.0
RQ1 high confidence + RQ2 >= 40 bps,40.0,1,0.0036231884057971015,,0.0,24.374168544718522,24.374168544718522,16.05000000000043,-24.374168544718522,1.0,0.0,0.0
RQ2 >= 40 bps + RQ3 flag,40.0,1,0.0036231884057971015,,0.0,21.932815127960748,21.932815127960748,11.580000000000204,-21.932815127960748,1.0,0.0,0.0
RQ1 high confidence + RQ2 >= 40 bps + RQ3 flag,40.0,0,0.0,,,,,,,,,
