session_date,otm_offset_points,MeanReversion60m,RQ1_ML,ml_minus_mean_reversion_pnl_usd
2026-02-04,25.0,-216.15,-216.15,0.0
2026-02-04,30.0,-158.0,-158.0,0.0
2026-02-05,0.0,59.95000000000002,59.95000000000002,0.0
2026-02-05,5.0,-114.50000000000003,-114.50000000000003,0.0
2026-02-05,10.0,-416.99999999999994,-416.99999999999994,0.0
2026-02-05,15.0,-353.5,-353.5,0.0
2026-02-05,20.0,-270.75,-270.75,0.0
2026-02-05,25.0,-188.0,-188.0,0.0
2026-02-05,30.0,-133.0,-133.0,0.0
2026-02-11,0.0,252.99999999999997,-496.50000000000006,-749.5
2026-02-11,5.0,-80.49999999999999,-276.0,-195.5
2026-02-11,10.0,-198.00000000000003,-138.0,60.00000000000003
2026-02-11,15.0,-128.0,-73.0,55.0
2026-02-11,20.0,-93.0,-41.0,52.0
2026-02-11,25.0,-68.0,-28.0,40.0
2026-02-11,30.0,-50.0,-23.0,27.0
2026-02-17,0.0,-675.0000000000001,253.50000000000006,928.5000000000002
2026-02-17,5.0,-423.0,20.000000000000043,443.00000000000006
2026-02-17,10.0,-260.25,-257.5,2.75
2026-02-17,15.0,-150.00000000000003,-276.0,-125.99999999999997
2026-02-17,20.0,-81.0,-183.0,-102.0
2026-02-17,25.0,-50.0,-128.0,-78.0
2026-02-17,30.0,-30.0,-93.0,-63.0
2026-03-03,0.0,-43.99999999999993,-1015.2,-971.2000000000002
2026-03-03,5.0,-310.99999999999994,-801.0,-490.00000000000006
2026-03-03,10.0,-470.2,-570.0,-99.80000000000001
2026-03-03,15.0,-360.0,-370.5,-10.5
2026-03-03,20.0,-276.0,-260.25,15.75
2026-03-03,25.0,-203.0,-183.0,20.0
2026-03-03,30.0,-168.0,-123.00000000000001,44.999999999999986
2026-03-05,0.0,-885.0,-885.0,0.0
2026-03-05,5.0,-681.3000000000001,-681.3000000000001,0.0
2026-03-05,10.0,-475.49999999999994,-475.49999999999994,0.0
2026-03-05,15.0,-328.5,-328.5,0.0
2026-03-05,20.0,-234.0,-234.0,0.0
2026-03-05,25.0,-175.00000000000003,-175.00000000000003,0.0
2026-03-05,30.0,-123.00000000000001,-123.00000000000001,0.0
2026-03-06,0.0,1334.5000000000005,1334.5000000000005,0.0
2026-03-06,5.0,954.2,954.2,0.0
2026-03-06,10.0,728.5999999999999,728.5999999999999,0.0
2026-03-06,15.0,438.5,438.5,0.0
2026-03-06,20.0,157.0,157.0,0.0
2026-03-06,25.0,-174.5,-174.5,0.0
2026-03-06,30.0,-170.00000000000003,-170.00000000000003,0.0
2026-03-09,0.0,-905.9999999999999,-905.9999999999999,0.0
2026-03-09,5.0,-677.0999999999999,-677.0999999999999,0.0
2026-03-09,10.0,-475.49999999999994,-475.49999999999994,0.0
2026-03-09,15.0,-339.00000000000006,-339.00000000000006,0.0
2026-03-09,20.0,-244.5,-244.5,0.0
2026-03-09,25.0,-173.00000000000003,-173.00000000000003,0.0
2026-03-09,30.0,-128.0,-128.0,0.0
2026-03-13,0.0,972.0000000000002,972.0000000000002,0.0
2026-03-13,5.0,762.0000000000001,762.0000000000001,0.0
2026-03-13,10.0,358.0,358.0,0.0
2026-03-13,15.0,-6.750000000000009,-6.750000000000009,0.0
2026-03-13,20.0,-210.00000000000003,-210.00000000000003,0.0
2026-03-13,25.0,-163.0,-163.0,0.0
2026-03-13,30.0,-123.00000000000001,-123.00000000000001,0.0
