strategy,otm_offset_points,execution_scenario,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,sharpe_style_per_trade,sortino_style_per_trade,median_capital_at_risk_usd,mean_capital_at_risk_usd,near_total_loss_rate
MeanReversion60m,10.0,low_cost,17,0.47058823529411764,6104.899999999999,359.11176470588225,-192.0,0.5815415413418917,-0.21843251088534107,2.575669509198654,-1751.88,0.28844778351448475,0.631324403492145,474.2799999999999,550.6223529411765,0.47058823529411764
RQ1_ML,10.0,low_cost,17,0.47058823529411764,6516.479999999999,383.3223529411764,-132.0,0.6623580325032776,-0.21843251088534107,2.6707209516972616,-1782.2000000000007,0.3280048399135728,0.7500067213715335,490.59999999999997,560.0470588235295,0.4117647058823529
MeanReversion60m,15.0,low_cost,17,0.4117647058823529,3229.0600000000004,189.94470588235296,-137.4,0.37644690278984355,-0.5770689196381054,1.9181290872903045,-1411.1999999999998,0.18107270725364336,0.4077348024821444,347.8,415.69294117647064,0.47058823529411764
RQ1_ML,15.0,low_cost,17,0.4117647058823529,3575.0600000000004,210.29764705882354,-137.4,0.4565035823295446,-0.5770689196381054,1.9999608413515328,-1761.0,0.2178192150646535,0.4950638301486644,358.0,416.1047058823529,0.47058823529411764
MeanReversion60m,20.0,low_cost,17,0.23529411764705882,1511.880000000001,88.93411764705888,-198.99999999999997,0.1339866394082542,-1.0015488507527415,1.4209910782905073,-1760.54,0.06141272977890191,0.1415326764668295,261.1,318.2364705882353,0.7058823529411765
RQ1_ML,20.0,low_cost,17,0.29411764705882354,1923.920000000001,113.17176470588241,-187.0,0.22930719755148754,-1.0018463810930576,1.5769221542521292,-1681.3000000000002,0.10563370357048205,0.24054040954100397,251.0,313.26941176470586,0.6470588235294118
MeanReversion60m,25.0,low_cost,17,0.17647058823529413,824.54,48.50235294117647,-161.99999999999997,-0.006451325719554385,-1.0051020408163265,1.2591263356379636,-1568.0,-0.0029389872503713496,-0.006546759770128561,181.0,240.39529411764707,0.7647058823529411
RQ1_ML,25.0,low_cost,17,0.17647058823529413,968.3400000000001,56.96117647058824,-161.99999999999997,0.006444042690951544,-1.0055248618784531,1.3187216114804818,-1456.2000000000003,0.002943007456765273,0.0066337224489254375,176.0,233.70117647058825,0.7058823529411765
MeanReversion60m,30.0,low_cost,17,0.11764705882352941,90.04000000000006,5.296470588235298,-117.00000000000001,-0.3684387174841027,-1.0070921985815602,1.035282131661442,-1344.0,-0.21184413055162232,-0.3745490863886197,126.0,186.1764705882353,0.8235294117647058
RQ1_ML,30.0,low_cost,17,0.11764705882352941,220.94000000000005,12.996470588235297,-117.00000000000001,-0.36919853819303194,-1.007936507936508,1.091256040642683,-1237.1000000000001,-0.2122415298639,-0.3749660089170149,121.0,178.47647058823532,0.8235294117647058
MeanReversion60m,0.0,medium_cost,17,0.6470588235294118,9691.400000000001,570.0823529411765,252.99999999999997,0.5590996505727012,0.5004945598417408,3.0528277907223047,-1604.0,0.40310409528427577,0.6112517634265413,926.5500000000001,983.0647058823529,0.29411764705882354
RQ1_ML,0.0,medium_cost,17,0.6470588235294118,9551.0,561.8235294117648,253.50000000000006,0.5348464936547819,0.3170731707317074,2.843199691224007,-2143.2000000000007,0.37681160787885254,0.5637247985765843,946.4999999999999,1013.4529411764706,0.29411764705882354
MeanReversion60m,5.0,medium_cost,17,0.47058823529411764,7039.05,414.06176470588235,-80.49999999999999,0.548578537530761,-0.17000742390497403,2.577590264237209,-1610.3000000000002,0.3439684072085261,0.7081962838333098,675.5999999999999,753.6088235294118,0.29411764705882354
RQ1_ML,5.0,medium_cost,17,0.5294117647058824,7485.900000000001,440.34705882352944,20.000000000000043,0.6019278378467822,0.03584229390681011,2.606623170365283,-2109.5,0.36707147683912433,0.7048092520793336,679.8000000000001,772.1382352941176,0.35294117647058826
MeanReversion60m,10.0,medium_cost,17,0.47058823529411764,5333.5,313.7352941176471,-198.00000000000003,0.4860310605786914,-0.2646229739252996,2.3090110321638506,-1820.9499999999998,0.2561709546261464,0.5245818650134352,488.7,567.2470588235294,0.47058823529411764
RQ1_ML,10.0,medium_cost,17,0.47058823529411764,5721.200000000001,336.54117647058825,-138.0,0.5622873704495098,-0.2646229739252996,2.391004133236081,-1858.0,0.29591382039017294,0.631840527065751,505.5,577.0588235294117,0.4117647058823529
MeanReversion60m,15.0,medium_cost,17,0.35294117647058826,2682.3999999999996,157.7882352941176,-150.00000000000003,0.2931565672471046,-0.6023094315245477,1.728072199226437,-1511.9999999999998,0.14967254490275936,0.33063557111766795,358.5,428.4823529411765,0.47058823529411764
RQ1_ML,15.0,medium_cost,17,0.35294117647058826,3011.8999999999996,177.1705882352941,-151.5,0.3679781567347212,-0.6023094315245477,1.803119792013866,-1851.5,0.186344378356188,0.4151589751330596,369.0,428.95294117647063,0.47058823529411764
MeanReversion60m,20.0,medium_cost,17,0.23529411764705882,1112.2000000000007,65.42352941176475,-210.00000000000003,0.05978326655098087,-1.002255299954894,1.297212794954705,-1829.8500000000001,0.029205172279338165,0.06266430977170492,269.25,328.2235294117647,0.7058823529411765
