session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2025-04-17,put,5,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5297.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-04-17,put,10,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5292.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-04-17,put,15,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5287.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-04-17,put,20,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5282.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-04-17,put,25,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5277.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-04-17,put,30,selected,O:SPX250417P05270000,SPX,2025-04-17,5270,5272.87,5302.87,-32.86999999999989,european,100,XCBO,SPX,as_of
2025-05-07,call,0,selected,O:SPXW250507C05625000,SPX,2025-05-07,5625,5625.49,5625.49,-0.4899999999997817,european,100,XCBO,SPX,as_of
2025-05-07,call,5,selected,O:SPXW250507C05630000,SPX,2025-05-07,5630,5630.49,5625.49,4.510000000000218,european,100,XCBO,SPX,as_of
2025-05-07,call,10,selected,O:SPXW250507C05635000,SPX,2025-05-07,5635,5635.49,5625.49,9.510000000000218,european,100,XCBO,SPX,as_of
2025-05-07,call,15,selected,O:SPXW250507C05640000,SPX,2025-05-07,5640,5640.49,5625.49,14.510000000000218,european,100,XCBO,SPX,as_of
2025-05-07,call,20,selected,O:SPXW250507C05645000,SPX,2025-05-07,5645,5645.49,5625.49,19.51000000000022,european,100,XCBO,SPX,as_of
2025-05-07,call,25,selected,O:SPXW250507C05650000,SPX,2025-05-07,5650,5650.49,5625.49,24.51000000000022,european,100,XCBO,SPX,as_of
