strategy,policy,otm_offset_points,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,median_holding_minutes,mean_holding_minutes,near_total_loss_rate,mean_mfe,mean_mae,ambiguous_bar_rate
MeanReversion60m,time_exit_1545,25,17,0.35294117647058826,1576.6499999999996,92.7441176470588,-128.0,0.16227150021022296,-0.8905194502678779,1.790994606797943,-914.0999999999999,45.0,45.0,0.5294117647058824,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,time_exit_1545,30,17,0.35294117647058826,925.95,54.46764705882353,-88.0,0.05070090916067002,-0.9648562300319489,1.5630586804499846,-838.5,45.0,44.94117647058823,0.5294117647058824,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,tp100_only,0,17,0.7647058823529411,6922.34,407.1964705882353,658.5,0.3874001188949454,0.8940936863543788,3.1120793287566744,-906.0,51.0,43.76470588235294,0.23529411764705882,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,tp100_only,5,17,0.7058823529411765,4934.705,290.27676470588233,488.40000000000003,0.37368881820051475,0.892054794520548,2.7770553494904386,-681.3000000000002,52.0,40.88235294117647,0.23529411764705882,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,tp100_only,10,17,0.7058823529411765,4386.125,258.00735294117646,356.09999999999997,0.3101737001250845,0.8891385767790261,3.0636218212613806,-1205.9499999999998,32.0,35.0,0.29411764705882354,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,tp100_only,15,17,0.6470588235294118,3265.23,192.07235294117646,256.875,0.24726617565361472,0.8850129198966409,2.9825318761384336,-838.5,32.0,34.64705882352941,0.29411764705882354,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,tp100_only,20,17,0.5882352941176471,2113.57,124.32764705882354,132.0,0.10988013436888032,0.8712871287128713,2.4109279038718294,-591.0,32.0,34.94117647058823,0.4117647058823529,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,tp100_only,25,17,0.5294117647058824,1581.7799999999997,93.04588235294116,81.99999999999999,-0.010891675148334667,0.8497409326424868,2.371882046834345,-496.0,32.0,36.411764705882355,0.47058823529411764,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,tp100_only,30,17,0.5294117647058824,1337.25,78.66176470588235,54.999999999999986,-0.019970575774389706,0.7913669064748199,2.595763723150358,-371.0,32.0,36.23529411764706,0.47058823529411764,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,trail25_after_50,0,17,0.5882352941176471,340.81125000000054,20.047720588235325,93.74999999999994,-0.03326484639223923,0.11281588447653423,1.1062453311698408,-1160.8762500000003,14.0,14.764705882352942,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,trail25_after_50,5,17,0.5294117647058824,-74.12249999999993,-4.360147058823525,31.12500000000005,-0.09225825419886262,0.06820975010241712,0.9714002945917244,-838.2825,8.0,11.647058823529411,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,trail25_after_50,10,17,0.5294117647058824,503.29125,29.605367647058824,11.000000000000012,-0.06853305116242714,0.055979643765903364,1.2745935822932346,-597.9875,8.0,11.0,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,trail25_after_50,15,17,0.47058823529411764,292.63750000000016,17.213970588235302,-86.50000000000001,-0.0857767572940795,-0.35091743119266045,1.1987807052550248,-696.6625,6.0,10.117647058823529,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,trail25_after_50,20,17,0.47058823529411764,791.8124999999998,46.57720588235293,-52.0,-0.08009505039963788,-0.38279569892473125,1.8349149861605376,-324.76250000000005,7.0,8.941176470588236,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,trail25_after_50,25,17,0.4117647058823529,312.54999999999967,18.38529411764704,-45.50000000000001,-0.20117686977491053,-0.5607940446650125,1.365448699210757,-507.5,6.0,8.294117647058824,0.0,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,trail25_after_50,30,17,0.4117647058823529,544.2375000000002,32.0139705882353,-36.5,-0.14858555876727436,-0.583617747440273,1.855719339622642,-309.5,7.0,9.352941176470589,0.058823529411764705,2.053674877078664,-0.8758306201252342,0.0
RQ1_ML,breakeven_after_50,0,17,0.17647058823529413,1709.86625,100.58036764705882,-77.07749999999993,0.09334752459340641,-0.053971486761710756,1.4402181696240506,-2868.1837499999997,22.0,26.823529411764707,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,breakeven_after_50,5,17,0.17647058823529413,1517.25,89.25,-87.525,0.09717610084236764,-0.0553424657534246,1.4840021691973968,-2413.8475000000008,16.0,25.0,0.0,1.8851857094303441,-0.5965448032421833,0.0
RQ1_ML,breakeven_after_50,10,17,0.11764705882352941,-802.8125000000001,-47.22426470588236,-73.87500000000003,-0.11214886803259805,-0.05730337078651686,0.6534092442189903,-2042.3000000000002,16.0,21.941176470588236,0.0,2.17147794998748,-0.6561506683896176,0.0
RQ1_ML,breakeven_after_50,15,17,0.058823529411764705,-1249.3849999999998,-73.49323529411764,-47.99999999999999,-0.19627948012292337,-0.06065573770491797,0.25715194558486465,-1681.8849999999998,10.0,16.823529411764707,0.0,2.43819680532654,-0.7201131752743566,0.0
