session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible
2025-04-02,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-04,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-07,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-09,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-04-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-11,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-14,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-15,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-16,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-17,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-21,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-22,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-23,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-25,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-28,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-29,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-30,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-01,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-02,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-05,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-07,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-09,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-12,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-13,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-14,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-15,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-16,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-05-19,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-20,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-05-21,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-22,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-23,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-27,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-05-28,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-05-29,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-05-30,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-02,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-06-03,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-04,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-05,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-06-09,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-06-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-06-11,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-12,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-13,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-16,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-17,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-18,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-06-20,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-23,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-06-24,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-25,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-06-26,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
