task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ1 Direction,Strict,Full,RBF SVC,0.45652173913043476,0.46701471286188895,0.4838709677419355,0.30612244897959184,0.375,-0.06963647323985826,0.47271001423825343,0.5264379880604017,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.05288893353967389,0.5386402027027027,0.5303657694962043,"{""model__C"": 0.6698625046187456, ""model__gamma"": 0.009351773236430697}"
RQ1 Direction,Strict,Full,RBF SVC,0.5760869565217391,0.5726120857699806,0.4883720930232558,0.5526315789473685,0.5185185185185185,0.1433162110997259,0.5341130604288499,0.47931263715245376,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.1305856878663136,0.5543620399775826,0.5264694833498061,"{""model__C"": 22.249374275890546, ""model__gamma"": 0.001000280290073574}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.391304347826087,0.4055475848876136,0.3728813559322034,0.5365853658536586,0.44,-0.19576592620462752,0.3701578192252511,0.4085946216021277,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5007820858050128,0.5492359932088284,0.5277777777777778,"{""model__C"": 0.16935257489677374, ""model__l1_ratio"": 0.6697246517218077}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.5,0.50640721404841,0.5405405405405406,0.40816326530612246,0.46511627906976744,0.013039150245412053,0.48410061699098245,0.5619455188717132,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5,0.5242820945945945,0.5,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.5108695652173914,0.5404483430799221,0.4426229508196721,0.7105263157894737,0.5454545454545454,0.08427012641182458,0.5536062378167641,0.4444724121929706,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.4997167798469504,0.533579301326359,0.520097452949917,"{""model__C"": 4.29720410115009, ""model__l1_ratio"": 0.31007393751622236}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.4673913043478261,0.49091343854615016,0.4393939393939394,0.7073170731707317,0.5420560747663551,-0.020060785694101763,0.541846006695361,0.5474624679317208,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.4968036200896655,0.548811544991511,0.48484848484848486,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 12, ""model__min_samples_split"": 18, ""model__n_estimators"": 440}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.4782608695652174,0.4945420028476507,0.5217391304347826,0.24489795918367346,0.3333333333333333,-0.012577870090366055,0.5206454674893213,0.5469832893506621,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5073065068705652,0.5335726351351351,0.5343052680009203,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 12, ""model__min_samples_split"": 12, ""model__n_estimators"": 684}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.4891304347826087,0.5024366471734893,0.41509433962264153,0.5789473684210527,0.4835164835164835,0.004855579659683931,0.560916179337232,0.5126448182963625,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.49875704599688714,0.592751728002989,0.5783874477137029,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 13, ""model__n_estimators"": 530}"
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5108695652173914,0.5014347202295553,0.4473684210526316,0.4146341463414634,0.43037974683544306,0.002896580187225062,0.45384983261597317,0.41443353854307774,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5000000000000002,0.5755517826825127,0.5176767676767676,"{""model__l2_regularization"": 0.003231964114281797, ""model__learning_rate"": 0.16587741352238097, ""model__max_bins"": 128, ""model__max_iter"": 152, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 31}"
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5652173913043478,0.5590887517797817,0.5818181818181818,0.6530612244897959,0.6153846153846154,0.12024994115213337,0.6141433317513052,0.6557300059513232,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.4911334439999308,0.6078969594594594,0.5830745341614907,"{""model__l2_regularization"": 0.006074132732148265, ""model__learning_rate"": 0.010076419345003565, ""model__max_bins"": 255, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 29}"
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5543478260869565,0.5346003898635477,0.45714285714285713,0.42105263157894735,0.4383561643835616,0.07018240010026278,0.5209551656920078,0.45914057821495924,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.5,0.618718475621147,0.6166341248167202,"{""model__l2_regularization"": 0.0062004432432274815, ""model__learning_rate"": 0.011999857642312034, ""model__max_bins"": 32, ""model__max_iter"": 236, ""model__max_leaf_nodes"": 22, ""model__min_samples_leaf"": 21}"
RQ1 Direction,Strict,Reduced,RBF SVC,0.44565217391304346,0.5,0.44565217391304346,1.0,0.6165413533834586,0.0,0.5093256814921091,0.473846249485609,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-0.9953226167405149,0.5059422750424448,0.5,"{""model__C"": 0.028854813096126055, ""model__gamma"": 0.02730650747823402}"
RQ1 Direction,Strict,Reduced,RBF SVC,0.5217391304347826,0.5097294731846227,0.5396825396825397,0.6938775510204082,0.6071428571428571,0.020896921690674305,0.48884670147128617,0.5116705792702885,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.11028568904217964,0.5418074324324325,0.5164768806073153,"{""model__C"": 0.27368018278462974, ""model__gamma"": 0.02734976017718085}"
RQ1 Direction,Strict,Reduced,RBF SVC,0.5217391304347826,0.50682261208577,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.01364522417153996,0.5311890838206628,0.4904308529946547,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.3702313083115945,0.5826639267700355,0.5664020004699966,"{""model__C"": 80.17025468558089, ""model__gamma"": 0.04923477941754623}"
RQ1 Direction,Relaxed,Full,Logistic ElasticNet,0.40594059405940597,0.4286287089013633,0.373134328358209,0.5813953488372093,0.45454545454545453,-0.1493567701961881,0.4514835605453087,0.43052692584164365,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.505136802091186,0.5502136752136753,0.543758325008325,"{""model__C"": 0.10591250507775796, ""model__l1_ratio"": 0.3160964710182087}"
RQ1 Direction,Relaxed,Full,Logistic ElasticNet,0.48514851485148514,0.48266351457840817,0.5185185185185185,0.5185185185185185,0.5185185185185185,-0.03467297084318361,0.4787234042553191,0.5745943095261021,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.4876821802556401,0.5151515151515151,0.5044893824328386,"{""model__C"": 0.19163820140288756, ""model__l1_ratio"": 0.4927234918566441}"
RQ1 Direction,Relaxed,Full,Logistic ElasticNet,0.48514851485148514,0.5434959349593496,0.43209876543209874,0.8536585365853658,0.5737704918032787,0.1071985010104614,0.567479674796748,0.4685492629626893,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.4911587313753669,0.5469953775038521,0.5161422337409179,"{""model__C"": 0.1594609855302788, ""model__l1_ratio"": 0.28968734025209486}"
RQ1 Direction,Relaxed,Full,Extra Trees,0.44554455445544555,0.4871692060946271,0.4177215189873418,0.7674418604651163,0.5409836065573771,-0.030740212358761534,0.49478748997594224,0.4111517646242949,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.4401760393196853,0.5160256410256411,0.5218462093462094,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 3, ""model__n_estimators"": 381}"
RQ1 Direction,Relaxed,Full,Extra Trees,0.45544554455445546,0.48108747044917255,0.46153846153846156,0.1111111111111111,0.1791044776119403,-0.05633942521631989,0.524822695035461,0.5274145833062037,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5136568739924976,0.5741341991341992,0.5296358099700168,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 10, ""model__n_estimators"": 210}"
RQ1 Direction,Relaxed,Full,Extra Trees,0.5247524752475248,0.5420731707317074,0.4406779661016949,0.6341463414634146,0.52,0.08384016819302016,0.6008130081300813,0.5431714837067826,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.5018747738212356,0.5587827426810478,0.5469154261917419,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 15, ""model__n_estimators"": 365}"
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,0.45544554455445546,0.46271050521251,0.39285714285714285,0.5116279069767442,0.4444444444444444,-0.074193259173086,0.4881716118684844,0.4418897127499079,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.458544690212381,0.5470085470085471,0.5181623931623932,"{""model__l2_regularization"": 0.003231964114281797, ""model__learning_rate"": 0.16587741352238097, ""model__max_bins"": 128, ""model__max_iter"": 152, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 31}"
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,0.5643564356435643,0.580181245074862,0.6785714285714286,0.35185185185185186,0.4634146341463415,0.17869325285504953,0.5736800630417652,0.6254706995714375,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5205916006132401,0.5806277056277056,0.5566594644188699,"{""model__l2_regularization"": 0.00955609686736343, ""model__learning_rate"": 0.014635180564549342, ""model__max_bins"": 255, ""model__max_iter"": 212, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 24}"
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,0.594059405940594,0.5888211382113822,0.5,0.5609756097560976,0.5287356321839081,0.17516753674002603,0.6138211382113821,0.5451664559134696,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.4958745327232828,0.5969183359013868,0.5921041555909977,"{""model__l2_regularization"": 0.0062004432432274815, ""model__learning_rate"": 0.011999857642312034, ""model__max_bins"": 32, ""model__max_iter"": 236, ""model__max_leaf_nodes"": 22, ""model__min_samples_leaf"": 21}"
RQ1 Direction,Relaxed,Full,RBF SVC,0.5544554455445545,0.4887730553327987,0.3333333333333333,0.046511627906976744,0.08163265306122448,-0.04696803322616657,0.4374498797113071,0.4181093085158368,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.8735968484613682,0.5117521367521367,0.5201048951048951,"{""model__C"": 3.274486343643001, ""model__gamma"": 0.0012654212015718546}"
RQ1 Direction,Relaxed,Full,RBF SVC,0.4752475247524752,0.48167848699763594,0.5121951219512195,0.3888888888888889,0.4421052631578947,-0.03721941871452373,0.4720252167060678,0.5730667797463657,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-0.052465042461380805,0.5238095238095237,0.5101773986397888,"{""model__C"": 38.77997694019537, ""model__gamma"": 0.00045387742478885247}"
RQ1 Direction,Relaxed,Full,RBF SVC,0.5247524752475248,0.5304878048780488,0.4339622641509434,0.5609756097560976,0.48936170212765956,0.059960487066099334,0.5747967479674797,0.4945191127081876,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.0,0.5406009244992296,0.523786660464292,"{""model__C"": 22.249374275890546, ""model__gamma"": 0.001000280290073574}"
RQ1 Direction,Relaxed,Reduced,Logistic ElasticNet,0.44554455445544555,0.4420609462710505,0.3673469387755102,0.4186046511627907,0.391304347826087,-0.11464362406941585,0.39815557337610263,0.3615591002896895,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.4977547974840647,0.5288461538461539,0.5355836293336294,"{""model__C"": 17.566924660016277, ""model__l1_ratio"": 0.971465091435388}"
RQ1 Direction,Relaxed,Reduced,Logistic ElasticNet,0.5148514851485149,0.49665090622537433,0.5324675324675324,0.7592592592592593,0.6259541984732825,-0.007849683188290674,0.6020488573680064,0.685998775888053,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5020267703099744,0.5189393939393939,0.5080060819877138,"{""model__C"": 5.286915977233589, ""model__l1_ratio"": 0.3605008362562857}"
RQ1 Direction,Relaxed,Reduced,Logistic ElasticNet,0.5346534653465347,0.5851626016260163,0.4605263157894737,0.8536585365853658,0.5982905982905983,0.1938070936763255,0.5691056910569106,0.44556155576444073,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.49913379922687673,0.5315870570107858,0.5259309099769626,"{""model__C"": 3.402964535382401, ""model__l1_ratio"": 0.11056545677251128}"
RQ1 Direction,Relaxed,Reduced,Extra Trees,0.5841584158415841,0.5296712109061749,0.5384615384615384,0.16279069767441862,0.25,0.08761944109751578,0.5557337610264635,0.4882425641425835,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.6448219060021635,0.563034188034188,0.5198181448181448,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 3, ""model__n_estimators"": 381}"
RQ1 Direction,Relaxed,Reduced,Extra Trees,0.5148514851485149,0.5228526398739165,0.5641025641025641,0.4074074074074074,0.4731182795698925,0.04682567344357608,0.553191489361702,0.59969217440157,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.500357753322849,0.5551948051948051,0.557063272069362,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 10, ""model__n_estimators"": 210}"
RQ1 Direction,Relaxed,Reduced,Extra Trees,0.5544554455445545,0.5593495934959349,0.46153846153846156,0.5853658536585366,0.5161290322580645,0.1166314261298288,0.6069105691056911,0.5679698983395146,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.5,0.5506163328197227,0.5524515993265994,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 8, ""model__n_estimators"": 292}"
RQ1 Direction,Relaxed,Reduced,Histogram Gradient Boosting,0.46534653465346537,0.47133119486768243,0.4,0.5116279069767442,0.4489795918367347,-0.05692821312618416,0.5202485966319166,0.4667809828192312,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.47519536446312305,0.5737179487179487,0.5267787767787768,"{""model__l2_regularization"": 0.008315103931728626, ""model__learning_rate"": 0.017836453118624085, ""model__max_bins"": 128, ""model__max_iter"": 429, ""model__max_leaf_nodes"": 17, ""model__min_samples_leaf"": 21}"
RQ1 Direction,Relaxed,Reduced,Histogram Gradient Boosting,0.504950495049505,0.4998029944838456,0.5344827586206896,0.5740740740740741,0.5535714285714286,-0.00039747147507709506,0.5685579196217495,0.6449267150611775,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.4807159729294987,0.5670995670995671,0.5485160225477884,"{""model__l2_regularization"": 16.724778889333493, ""model__learning_rate"": 0.01317762059400472, ""model__max_bins"": 32, ""model__max_iter"": 219, ""model__max_leaf_nodes"": 26, ""model__min_samples_leaf"": 20}"
RQ1 Direction,Relaxed,Reduced,Histogram Gradient Boosting,0.594059405940594,0.5772357723577235,0.5,0.4878048780487805,0.49382716049382713,0.15510333281115213,0.6207317073170732,0.6065625159588189,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.6205960882750514,0.5559322033898305,0.5485623781676413,"{""model__l2_regularization"": 0.014051148515293812, ""model__learning_rate"": 0.07557670443626767, ""model__max_bins"": 32, ""model__max_iter"": 285, ""model__max_leaf_nodes"": 24, ""model__min_samples_leaf"": 22}"
RQ1 Direction,Relaxed,Reduced,RBF SVC,0.5445544554455446,0.4801523656776263,0.2857142857142857,0.046511627906976744,0.08,-0.07728122956779755,0.48195669607056935,0.4537102005097554,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.8846427822564342,0.49893162393162394,0.5269603082103083,"{""model__C"": 1.7484478274588928, ""model__gamma"": 0.004415927721104793}"
RQ1 Direction,Relaxed,Reduced,RBF SVC,0.49504950495049505,0.5250197005516155,0.7142857142857143,0.09259259259259259,0.16393442622950818,0.0982754328367767,0.49527186761229314,0.5625255940821147,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.44664296916683494,0.5454545454545454,0.5305122037931885,"{""model__C"": 0.6698625046187456, ""model__gamma"": 0.009351773236430697}"
RQ1 Direction,Relaxed,Reduced,RBF SVC,0.5841584158415841,0.5341463414634147,0.4782608695652174,0.2682926829268293,0.34375,0.0799706284282429,0.5536585365853659,0.5121675229955756,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.5526493967312496,0.5447611710323574,0.5262642876129718,"{""model__C"": 90.37453045307828, ""model__gamma"": 0.015782612996963676}"
