task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ3 Large Movement,Strict,Reduced,RBF SVC,0.717391304347826,0.6430976430976431,0.2222222222222222,0.5454545454545454,0.3157894736842105,0.20392138306911162,0.7037037037037037,0.2264290107370236,0.11956521739130435,0.10686379334571924,1.893769907982379,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,-0.4155803150986155,0.6885245901639344,0.6828525635756245,"{""model__C"": 33.62722234166185, ""model__gamma"": 0.00023982139959332127}"
RQ3 Large Movement,Strict,Reduced,RBF SVC,0.75,0.5,0.0,0.0,0.0,0.0,0.7422810333963453,0.5390611235915783,0.25,0.2890611235915783,2.1562444943663133,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.44238292199187346,0.512396694214876,0.5671047893792318,"{""model__C"": 0.02909396057508645, ""model__gamma"": 0.03232709882056553}"
RQ3 Large Movement,Relaxed,Full,Logistic ElasticNet,0.6237623762376238,0.6345238095238095,0.559322033898305,0.7333333333333333,0.6346153846153846,0.2713181033434572,0.7162698412698412,0.6415191807429862,0.44554455445544555,0.19597462628754064,1.4398541612231468,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.5190406455925479,0.42857142857142855,0.4358044243338361,"{""model__C"": 0.10591250507775796, ""model__l1_ratio"": 0.3160964710182087}"
RQ3 Large Movement,Relaxed,Full,Logistic ElasticNet,0.7722772277227723,0.6956043956043956,0.24,0.6,0.34285714285714286,0.2707400478516243,0.7175824175824176,0.22338571130599516,0.09900990099009901,0.12437581031589615,2.256195684190551,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5642747305518564,0.6666666666666666,0.5332072822258639,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ3 Large Movement,Relaxed,Full,Logistic ElasticNet,0.7227722772277227,0.7285395763656632,0.4358974358974359,0.7391304347826086,0.5483870967741935,0.39370822227177776,0.7714604236343368,0.5343379997002408,0.22772277227722773,0.30661522742301306,2.3464407812923613,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.48186662122056323,0.5655172413793104,0.5408797075379369,"{""model__C"": 0.016360281948189306, ""model__l1_ratio"": 0.38798251760716695}"
RQ3 Large Movement,Relaxed,Full,Extra Trees,0.6831683168316832,0.6902777777777778,0.6181818181818182,0.7555555555555555,0.68,0.3798027248369712,0.7212301587301587,0.617198933679881,0.44554455445544555,0.17165437922443544,1.385268717814844,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.3649157943934138,0.4444444444444444,0.4111152882205514,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 3, ""model__n_estimators"": 381}"
RQ3 Large Movement,Relaxed,Full,Extra Trees,0.7029702970297029,0.7906593406593407,0.23684210526315788,0.9,0.375,0.3584040452568402,0.8164835164835165,0.3191906283984757,0.09900990099009901,0.22018072740837666,3.2238253468246043,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.4732913543576007,0.6774193548387096,0.5545817332207644,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 19, ""model__n_estimators"": 435}"
RQ3 Large Movement,Relaxed,Full,Extra Trees,0.7128712871287128,0.7221293199554069,0.425,0.7391304347826086,0.5396825396825397,0.38093615058606256,0.7675585284280937,0.5163031427157744,0.22772277227722773,0.2885803704385467,2.2672442354040525,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.5236787358889571,0.6,0.5892327143764271,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 13, ""model__n_estimators"": 242}"
RQ3 Large Movement,Relaxed,Full,Histogram Gradient Boosting,0.6831683168316832,0.6946428571428571,0.6101694915254238,0.8,0.6923076923076923,0.39257088404119694,0.7140873015873016,0.5890096214927845,0.44554455445544555,0.1434650670373389,1.321999372683805,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.001780230670946395,0.56,0.5689814814814814,"{""model__l2_regularization"": 0.025529063983213446, ""model__learning_rate"": 0.1311485961433001, ""model__max_bins"": 128, ""model__max_iter"": 443, ""model__max_leaf_nodes"": 5, ""model__min_samples_leaf"": 11}"
RQ3 Large Movement,Relaxed,Full,Histogram Gradient Boosting,0.5841584158415841,0.7247252747252748,0.18,0.9,0.3,0.26849272435118143,0.7637362637362637,0.23338986930861516,0.09900990099009901,0.13437996831851615,2.357237680017013,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.005336206631851563,0.6666666666666666,0.5255332868038708,"{""model__l2_regularization"": 0.0021412991531456265, ""model__learning_rate"": 0.048654469720318484, ""model__max_bins"": 64, ""model__max_iter"": 278, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 9}"
RQ3 Large Movement,Relaxed,Full,Histogram Gradient Boosting,0.5841584158415841,0.6234671125975474,0.3137254901960784,0.6956521739130435,0.43243243243243246,0.2071201808569282,0.6978818283166109,0.41894357972881713,0.22772277227722773,0.1912208074515894,1.8397087631569795,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.021254991194809107,0.5657894736842105,0.5232225869494437,"{""model__l2_regularization"": 0.15940856611192583, ""model__learning_rate"": 0.04757778469270098, ""model__max_bins"": 255, ""model__max_iter"": 372, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}"
RQ3 Large Movement,Relaxed,Full,RBF SVC,0.5841584158415841,0.6162698412698413,0.5189873417721519,0.9111111111111111,0.6612903225806451,0.2800093023773811,0.7325396825396825,0.6598947458407955,0.44554455445544555,0.21435019138535,1.4810970962204522,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-0.7214912615467619,0.42424242424242425,0.4395934131228248,"{""model__C"": 3.274486343643001, ""model__gamma"": 0.0012654212015718546}"
RQ3 Large Movement,Relaxed,Full,RBF SVC,0.09900990099009901,0.5,0.09900990099009901,1.0,0.18018018018018017,0.0,0.8186813186813187,0.3250657050126827,0.09900990099009901,0.2260558040225837,3.283163620628095,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-0.7540958047345928,0.5393258426966292,0.5799643391534601,"{""model__C"": 0.0648261712278685, ""model__gamma"": 0.006618463633643239}"
