research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,ret_last_60m,SPX momentum,-0.022994762303315496,0.06339961463265847
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,momentum_accel_60m_vs_prior,SPX momentum,0.05465141744344297,0.1604854561346631
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,vix_level_1500,VIX,0.10545130609243661,0.08646078983598868
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,vix_ret_last_15m,VIX,0.43402818778679714,0.1801835029062883
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,vix_ret_last_60m,VIX,-0.038859244907855306,0.037167238054322
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,realized_vol_30m,Realised volatility,0.047948131216243084,0.08965297328353194
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,realized_vol_120m,Realised volatility,0.2085136068241793,0.25327045562199957
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,rv_open_to_1500,Realised volatility,0.28740510843933986,0.26476755210121083
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,spy_volume_last_60m,SPY volume,0.2903934078713991,0.20276605470743692
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,spy_volume_accel_60m_vs_avg,SPY volume,-0.0014494272730473767,0.09171663524138116
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,spy_dist_from_vwap_pct,Price position,-0.0616130221755812,0.07331180106404508
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,position_in_day_range,Price position,0.032195606754779324,0.024848599417141546
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,atr_pct_open_to_1500,True range,0.21322336244654566,0.19002200722664048
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,ret_open_to_1500,SPX momentum,0.07271684547692096,0.04701183747989272
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,ret_last_15m,SPX momentum,0.17254065686758402,0.20613102283572876
