volume,vwap,open,close,high,low,timestamp_ms,transactions,timestamp,session_date,option_ticker,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode,spx_at_1500,rq1_prediction,rq1_confidence_percentile,rq2_predicted_move_bps,rq3_positive,ml_direction,mean_reversion_direction,actual_abs_move_bps,actual_signed_move_bps
352,1.37,1.4,1.22,1.6,1.1,1770237720000,143,2026-02-04 15:42:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
657,1.0186,1.2,1.2,1.25,0.85,1770237780000,164,2026-02-04 15:43:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
910,1.5081,1.21,1.52,1.7,1.2,1770237840000,261,2026-02-04 15:44:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
422,1.5182,1.5,1.5,1.65,1.32,1770237900000,187,2026-02-04 15:45:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
537,1.6373,1.45,1.1,2.0,1.05,1770237960000,261,2026-02-04 15:46:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
932,0.6627,1.05,0.5,1.05,0.35,1770238020000,265,2026-02-04 15:47:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
512,0.5325,0.47,0.47,0.65,0.45,1770238080000,151,2026-02-04 15:48:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
702,0.605,0.5,0.5,0.7,0.4,1770238140000,183,2026-02-04 15:49:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
1189,0.8427,0.5,1.1,1.45,0.4,1770238200000,365,2026-02-04 15:50:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
1639,1.5261,1.05,1.75,2.1,0.95,1770238260000,619,2026-02-04 15:51:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
