research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,ret_open_to_1500,SPX momentum,0.0008430418656296846,0.0012384044637668264
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,ret_last_15m,SPX momentum,-0.0030497170618701552,0.021277201990492208
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,ret_last_60m,SPX momentum,0.025148841518763072,0.006645915431648132
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,momentum_accel_60m_vs_prior,SPX momentum,0.010561211380567915,0.0069599432251867925
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,vix_level_1500,VIX,0.005719890736866346,0.004880723780009722
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,vix_ret_last_15m,VIX,0.014554549078394185,0.01948457366322432
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,vix_ret_last_60m,VIX,0.03526736632603412,0.009286463501103754
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,realized_vol_30m,Realised volatility,0.012357532238793306,0.007696741235176023
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,realized_vol_120m,Realised volatility,0.020000615978620073,0.01406500093291645
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,rv_open_to_1500,Realised volatility,0.02610517931738431,0.016133526037902253
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,spy_volume_last_60m,SPY volume,-0.0012499086775922042,0.003230492350422116
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,spy_volume_accel_60m_vs_avg,SPY volume,0.10898934592968106,0.03326172665956756
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,spy_dist_from_vwap_pct,Price position,-0.011119910034736346,0.005969387520728411
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,position_in_day_range,Price position,-0.0025473022055901517,0.002024098133306375
RQ3 Large Movement,Strict,Reduced,RBF SVC,1,atr_pct_open_to_1500,True range,0.05995051904710824,0.02152321202772539
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,ret_open_to_1500,SPX momentum,-0.0024247692020269718,0.0033628594070047343
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,ret_last_15m,SPX momentum,0.00446420232516041,0.0052374738723869625
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,ret_last_60m,SPX momentum,-0.0030017151270099406,0.003649153335416074
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,momentum_accel_60m_vs_prior,SPX momentum,-0.012324926018928001,0.006999552239821829
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,vix_level_1500,VIX,-0.0003954652128034308,0.0051790091625345935
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,vix_ret_last_15m,VIX,0.020101586158835116,0.007649955032231037
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,vix_ret_last_60m,VIX,-0.003203024405471061,0.004050324511829515
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,realized_vol_30m,Realised volatility,0.002276941016550704,0.010924310539413003
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,realized_vol_120m,Realised volatility,0.01744691883764398,0.019648276165817075
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,rv_open_to_1500,Realised volatility,0.027215021678059104,0.020796666152363634
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,spy_volume_last_60m,SPY volume,0.0021006219659015337,0.006219832309449705
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,spy_volume_accel_60m_vs_avg,SPY volume,-0.011208859203801647,0.007677698381488243
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,spy_dist_from_vwap_pct,Price position,-0.004282905862146846,0.0021514196967328024
