task,dataset_variant,feature_set,model,mae_bps,rmse_bps,r2,spearman,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,inner_best_search_score,best_parameters
RQ2 Magnitude,Strict,Reduced,Elastic Net,12.727787795880593,18.15338788006069,0.2562609506779746,0.3776344345309863,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.545931219770742,"{""model__alpha"": 2.113905667073237, ""model__l1_ratio"": 0.6721772794761761}"
RQ2 Magnitude,Strict,Reduced,Elastic Net,16.137781336617227,25.20191917675479,0.337896266867329,0.5736677115987461,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.541197378382646,"{""model__alpha"": 2.0576508321931897, ""model__l1_ratio"": 0.14884806304421894}"
RQ2 Magnitude,Strict,Reduced,Elastic Net,11.322372347103835,14.740413353012123,-0.006373576595137598,0.3236636926292099,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.126914423205383,"{""model__alpha"": 1.9025906512182598, ""model__l1_ratio"": 0.06693827118834939}"
RQ2 Magnitude,Strict,Reduced,Extra Trees,13.803056789962618,18.80273819527255,0.20210194211387378,0.15321115665943252,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.69269113267672,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 3, ""model__n_estimators"": 205}"
RQ2 Magnitude,Strict,Reduced,Extra Trees,16.516083148184926,26.79269900326287,0.25167244364335795,0.5801864801864802,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.645305987305045,"{""model__bootstrap"": false, ""model__max_depth"": 3, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 677}"
RQ2 Magnitude,Strict,Reduced,Extra Trees,11.10703305377019,14.369273047095392,0.04366622154265498,0.31046941564182945,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.245172115063406,"{""model__bootstrap"": true, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 780}"
RQ2 Magnitude,Strict,Reduced,Histogram Gradient Boosting,12.99549638926887,21.141868735337447,-0.00876952564388711,0.20349732134768214,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-11.206780825999601,"{""model__l2_regularization"": 6.210586317322275, ""model__learning_rate"": 0.013816584588722742, ""model__loss"": ""absolute_error"", ""model__max_bins"": 32, ""model__max_iter"": 114, ""model__max_leaf_nodes"": 18, ""model__min_samples_leaf"": 28}"
RQ2 Magnitude,Strict,Reduced,Histogram Gradient Boosting,16.56578715427439,28.25498506272818,0.16775925974900774,0.517510650269271,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.135351025364045,"{""model__l2_regularization"": 0.003709172197699196, ""model__learning_rate"": 0.025875353763016272, ""model__loss"": ""absolute_error"", ""model__max_bins"": 64, ""model__max_iter"": 372, ""model__max_leaf_nodes"": 9, ""model__min_samples_leaf"": 10}"
RQ2 Magnitude,Strict,Reduced,Histogram Gradient Boosting,9.771766738276758,13.459461989293793,0.1609355876507642,0.29819950164777753,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.343824961195311,"{""model__l2_regularization"": 0.008721086311075644, ""model__learning_rate"": 0.025839481278567514, ""model__loss"": ""absolute_error"", ""model__max_bins"": 128, ""model__max_iter"": 124, ""model__max_leaf_nodes"": 17, ""model__min_samples_leaf"": 25}"
RQ2 Magnitude,Strict,Reduced,RBF SVR,12.418769256739697,20.238208651720807,0.07562253811790631,0.30086809741982157,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-10.773832569685773,"{""model__C"": 38.76094171803448, ""model__epsilon"": 0.22688483841007323, ""model__gamma"": 0.0011200032693099203}"
RQ2 Magnitude,Strict,Reduced,RBF SVR,16.454114411191895,29.413426473174095,0.09811731818074654,0.5297604694156418,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-11.752170039217583,"{""model__C"": 16.598498453342284, ""model__epsilon"": 0.33949926769495553, ""model__gamma"": 0.01155978355611923}"
RQ2 Magnitude,Strict,Reduced,RBF SVR,9.801859378931505,13.627742922844437,0.13982311953640258,0.3037054899123865,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-13.879207431892377,"{""model__C"": 33.05628970444424, ""model__epsilon"": 0.11335687787313693, ""model__gamma"": 0.0016582621303833087}"
RQ2 Magnitude,Relaxed,Full,Ridge Regression,11.835493943529467,16.783412663914344,0.2522876377976988,0.3509625413130241,1,2023-02-15,2023-11-02,2023-11-03,2024-08-19,-12.72443968944196,"{""model__alpha"": 64.90568112132166}"
RQ2 Magnitude,Relaxed,Full,Ridge Regression,14.59049842043751,22.930024808929463,0.381228055672598,0.5804844922611957,2,2023-02-15,2024-08-19,2024-08-20,2025-05-05,-11.751222000576455,"{""model__alpha"": 457.1980005349639}"
