task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ1 Direction,Strict,Full,RBF SVC,0.4791666666666667,0.4916650513665439,0.45918367346938777,0.6716417910447762,0.5454545454545454,-0.01783297224408254,0.5064935064935066,0.4685544880089074,0.4652777777777778,0.0032767102311296314,1.0070424816907861,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.0,0.5465146188802195,0.5415798142784768,"{""model__C"": 1.0954930794959705, ""model__gamma"": 0.06927746271980831}"
RQ1 Direction,Strict,Full,RBF SVC,0.4722222222222222,0.4666666666666667,0.4339622641509434,0.3333333333333333,0.3770491803278688,-0.06905661510362933,0.4736231884057971,0.48811915478745643,0.4791666666666667,0.008952488120789748,1.0186834534694742,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.17046804901228096,0.5539634146341463,0.5393838309764716,"{""model__C"": 86.32692275610943, ""model__gamma"": 0.051901689754367174}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.5486111111111112,0.5336687306501549,0.5495495495495496,0.8026315789473685,0.6524064171122995,0.0799833393320708,0.5595975232198142,0.5892838250773688,0.5277777777777778,0.06150604729959097,1.116537773830804,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.4977012222871778,0.5582047685834503,0.5670059730431247,"{""model__C"": 0.0943517787756385, ""model__l1_ratio"": 0.8020471186286665}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.4375,0.4536731924791626,0.4339622641509434,0.6865671641791045,0.5317919075144508,-0.10485771793438611,0.44349680170575695,0.44920273017588497,0.4652777777777778,-0.016075047601892822,0.9654506439601109,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.49274216769227,0.5403412501071765,0.5261688533915126,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.4791666666666667,0.5,0.4791666666666667,1.0,0.647887323943662,0.0,0.5,0.4791666666666667,0.4791666666666667,0.0,1.0,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.0,0.5,0.5,"{""model__C"": 0.0017482760355616923, ""model__l1_ratio"": 0.16332444820826675}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.5347222222222222,0.5073529411764706,0.5314685314685315,1.0,0.6940639269406392,0.08840652520072621,0.5263157894736843,0.5746274119191244,0.5277777777777778,0.046849634141346574,1.088767727846762,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.4118367906444445,0.52945301542777,0.47860292442335783,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 14, ""model__min_samples_split"": 17, ""model__n_estimators"": 397}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.5555555555555556,0.5650319829424307,0.5164835164835165,0.7014925373134329,0.5949367088607594,0.1345182241358449,0.5359565807327001,0.4892713153069262,0.4652777777777778,0.0239935375291484,1.0515682000626474,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.4998271794979989,0.5721512475349395,0.5480759910342915,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 3, ""model__n_estimators"": 214}"
RQ1 Direction,Strict,Reduced,Extra Trees,0.4513888888888889,0.45014492753623186,0.4264705882352941,0.42028985507246375,0.4233576642335766,-0.09977765023189761,0.4757487922705314,0.47358311984898915,0.4791666666666667,-0.005583546817677532,0.9883473805544121,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.5007039069079479,0.51875,0.5150774024216354,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 17, ""model__n_estimators"": 520}"
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5208333333333334,0.5367647058823529,0.6129032258064516,0.25,0.35514018691588783,0.0893104495588075,0.590750773993808,0.5899751881888349,0.5277777777777778,0.062197410411057086,1.1178477249893712,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.5998209308216859,0.5631136044880786,0.5428745660943802,"{""model__l2_regularization"": 12.77532587283784, ""model__learning_rate"": 0.05285481350797849, ""model__max_bins"": 32, ""model__max_iter"": 304, ""model__max_leaf_nodes"": 29, ""model__min_samples_leaf"": 23}"
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5138888888888888,0.5202558635394456,0.4823529411764706,0.6119402985074627,0.5394736842105263,0.04108923479755869,0.5099825547586743,0.4539214666312914,0.4652777777777778,-0.011356311146486386,0.9755924058941188,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.5675392960874013,0.5970590757095087,0.5856352034164779,"{""model__l2_regularization"": 0.0021412991531456265, ""model__learning_rate"": 0.048654469720318484, ""model__max_bins"": 64, ""model__max_iter"": 278, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 9}"
