dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-03-08,860,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-08\data.parquet,ok,
stock_minute_1,SPY,2023-03-09,890,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-09\data.parquet,ok,
stock_minute_1,SPY,2023-03-10,884,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-10\data.parquet,ok,
stock_minute_1,SPY,2023-03-13,919,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-13\data.parquet,ok,
stock_minute_1,SPY,2023-03-14,892,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-14\data.parquet,ok,
stock_minute_1,SPY,2023-03-15,934,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-15\data.parquet,ok,
stock_minute_1,SPY,2023-03-16,895,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-16\data.parquet,ok,
stock_minute_1,SPY,2023-03-17,914,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-17\data.parquet,ok,
stock_minute_1,SPY,2023-03-20,896,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-20\data.parquet,ok,
stock_minute_1,SPY,2023-03-21,864,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-21\data.parquet,ok,
stock_minute_1,SPY,2023-03-22,876,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-22\data.parquet,ok,
stock_minute_1,SPY,2023-03-23,912,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-23\data.parquet,ok,
stock_minute_1,SPY,2023-03-24,877,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-24\data.parquet,ok,
